production_line,material_type,shift,temp_sensor_1,temp_sensor_2,pressure_sensor,humidity,vibration_sensor,processing_time_sec,power_consumption_kw,operator_experience_yr,yield_pct
Line-B,Type-Z,야간,188.5,191.13,1.401,41.5,0.157,136.2,277.1,11,90.38
Line-B,Type-Y,주간,194.06,184.53,1.384,42.2,0.855,150.4,325.1,7,89.93
Line-B,Type-Z,주간,207.64,208.46,1.468,55.0,0.135,120.3,237.0,7,87.29
Line-A,Type-X,야간,211.55,204.97,2.406,36.2,0.477,88.2,184.4,4,85.06
Line-A,Type-Z,주간,205.5,206.52,1.341,59.3,0.193,134.4,307.9,9,90.49
Line-B,Type-Y,주간,201.26,207.23,1.618,40.9,0.056,103.3,199.7,11,92.99
Line-B,Type-X,주간,195.8,198.39,1.161,48.7,0.387,77.9,163.5,4,90.05
Line-C,Type-Y,주간,182.33,182.09,1.935,52.0,0.113,127.4,271.4,6,86.77
Line-A,Type-X,주간,214.89,211.0,1.647,46.9,0.036,129.8,276.4,7,91.71
Line-C,Type-Z,주간,219.11,216.06,1.732,66.0,0.119,123.9,271.1,15,86.84
Line-A,Type-X,야간,205.49,206.98,1.127,50.8,0.055,136.2,289.7,8,93.71
Line-B,Type-X,주간,195.46,,1.212,49.2,0.003,142.0,296.2,10,91.13
Line-B,Type-X,야간,199.06,197.85,1.657,65.7,0.194,134.4,272.4,9,89.33
Line-B,Type-Y,주간,206.84,204.52,1.301,50.2,0.284,108.5,237.7,2,88.3
Line-A,Type-Y,주간,219.06,222.24,1.971,34.5,0.208,124.0,275.3,1,86.7
Line-A,Type-Y,야간,187.54,187.29,1.578,39.8,0.484,112.0,222.0,5,89.08
Line-A,Type-X,야간,204.96,205.9,1.517,40.9,0.061,114.6,243.9,3,92.38
Line-B,Type-X,주간,205.64,199.04,1.515,47.5,0.262,129.6,274.6,3,89.64
Line-A,Type-X,주간,186.76,184.1,1.619,59.7,0.124,105.9,221.7,5,93.22
Line-B,Type-Y,주간,172.65,170.89,1.791,59.0,0.388,158.9,333.6,7,90.92
Line-C,Type-Y,야간,216.66,215.94,1.074,55.5,0.674,123.0,268.4,3,84.26
Line-B,Type-Z,야간,184.56,193.22,1.532,60.1,0.404,129.8,263.1,5,86.81
Line-A,Type-Y,주간,204.51,203.07,1.625,42.7,0.07,129.2,277.5,4,92.11
Line-A,Type-X,주간,231.57,226.12,1.12,40.2,0.058,130.2,278.5,5,88.12
Line-A,Type-X,주간,209.17,227.57,1.572,39.9,0.047,113.6,237.4,4,93.91
Line-B,Type-Y,주간,173.94,173.22,0.805,30.5,0.412,103.2,230.4,2,91.84
Line-B,Type-Z,야간,227.18,226.4,1.462,62.8,0.001,128.5,276.9,2,83.67
Line-A,Type-Y,주간,207.94,207.97,1.616,42.6,0.009,152.7,314.0,14,92.26
Line-C,Type-Y,주간,207.16,,1.404,55.6,0.233,113.9,240.4,10,89.09
Line-C,Type-Z,야간,196.51,198.16,1.538,45.6,0.481,99.6,220.6,10,85.3
Line-A,Type-Y,주간,182.41,,1.821,52.0,0.074,128.2,285.4,7,92.34
Line-B,Type-Z,야간,188.35,187.07,1.65,45.3,0.178,112.7,238.4,3,87.11
Line-A,Type-X,야간,180.8,172.04,1.767,43.7,0.574,138.6,275.6,4,91.62
Line-C,Type-Y,야간,211.32,213.61,1.281,55.5,0.24,101.5,211.2,10,86.79
Line-C,Type-Y,주간,210.71,207.7,1.777,54.0,0.829,123.9,256.2,7,83.98
Line-C,Type-X,주간,177.79,189.76,1.647,54.1,0.102,137.0,300.8,14,92.47
Line-C,Type-X,주간,210.55,212.16,0.966,75.6,0.187,107.4,235.7,5,92.9
Line-B,Type-Y,주간,186.11,186.08,2.06,60.5,0.281,111.5,227.9,6,86.93
Line-C,Type-X,야간,201.5,198.65,1.758,52.4,0.288,94.0,191.2,8,87.57
Line-C,Type-X,야간,211.15,205.9,1.651,36.1,0.229,96.2,196.7,5,84.49
Line-B,Type-Z,야간,226.21,227.43,1.587,37.9,0.157,117.1,251.3,10,87.76
Line-A,Type-Z,주간,238.26,235.17,2.06,61.1,0.236,106.4,241.2,15,87.11
Line-A,Type-X,주간,179.5,177.51,1.29,42.8,0.019,122.0,265.5,8,92.84
Line-B,Type-Y,주간,191.34,206.08,1.497,71.6,0.356,115.9,243.9,4,87.53
Line-A,Type-X,주간,208.4,204.24,1.721,63.7,0.646,106.0,234.9,5,86.36
Line-B,Type-Y,주간,175.0,172.93,1.896,52.5,0.708,113.1,255.3,13,87.36
Line-B,Type-Z,주간,180.05,182.97,1.403,68.6,0.789,137.1,274.5,10,89.08
Line-A,Type-X,주간,216.98,223.04,1.567,55.6,0.073,118.1,246.8,8,88.34
Line-C,Type-X,주간,203.45,202.95,2.031,46.3,0.226,121.3,250.0,10,86.68
Line-B,Type-X,야간,183.34,186.36,2.015,51.5,0.846,134.7,283.8,12,89.94
Line-C,Type-Y,주간,195.38,199.72,1.778,65.4,0.473,110.3,241.9,15,89.49
Line-B,Type-X,주간,212.96,213.52,1.302,49.7,0.022,95.5,195.4,13,93.27
Line-A,Type-Z,주간,187.06,182.56,1.705,61.6,0.24,136.1,287.0,15,90.31
Line-B,Type-Z,야간,215.66,213.33,1.4,38.8,0.166,145.0,287.9,12,87.36
Line-B,Type-X,야간,198.32,205.59,1.591,60.5,0.111,123.9,251.8,15,92.81
Line-C,Type-X,주간,211.0,,1.293,58.8,0.347,116.1,251.3,12,89.22
Line-B,Type-Y,주간,209.71,204.19,1.345,45.9,1.36,111.4,240.9,13,85.47
Line-B,Type-X,야간,192.54,189.49,1.59,60.1,0.072,110.8,232.7,1,89.25
Line-A,Type-Y,주간,210.05,208.79,0.92,46.9,0.233,112.7,245.3,8,91.64
Line-C,Type-Y,야간,214.57,217.28,1.45,66.0,0.076,145.3,299.9,13,85.99
Line-C,Type-Y,주간,206.79,,1.295,63.6,0.155,90.6,183.4,10,87.14
Line-A,Type-Y,야간,178.69,176.53,1.442,47.4,0.964,124.8,263.2,10,90.85
Line-C,Type-X,야간,195.59,198.27,1.557,40.1,0.507,142.0,304.3,1,88.34
Line-A,Type-X,주간,198.42,208.9,1.393,53.8,0.113,146.3,311.1,8,94.17
Line-B,Type-Z,야간,208.17,211.58,4.0,62.5,0.518,146.2,312.6,2,83.18
Line-B,Type-X,야간,212.4,213.39,1.26,45.0,0.564,142.7,286.6,4,90.43
Line-A,Type-X,야간,205.34,200.12,1.13,42.9,0.027,122.5,251.7,3,91.79
Line-A,Type-Z,야간,179.08,179.2,1.459,38.8,0.022,150.4,319.8,15,90.34
Line-C,Type-Z,야간,290.0,218.67,1.792,38.7,0.199,124.5,256.7,13,80.96
Line-A,Type-Y,주간,213.2,215.21,1.726,46.8,0.099,95.9,204.4,12,90.15
Line-A,Type-X,야간,227.44,229.87,1.702,54.5,0.01,136.6,297.6,15,93.73
Line-B,Type-Z,야간,215.02,211.17,1.549,48.5,0.108,135.0,276.2,2,85.19
Line-A,Type-Y,주간,225.37,231.33,1.526,32.5,0.405,142.0,286.4,10,88.27
Line-A,Type-Y,야간,194.01,194.92,1.542,39.6,0.051,148.9,313.7,12,89.52
Line-A,Type-X,주간,210.19,209.68,1.639,55.5,0.296,126.1,266.0,15,94.3
Line-A,Type-Y,야간,186.45,188.58,1.375,48.9,0.189,111.7,235.7,12,91.9
Line-A,Type-X,야간,199.29,188.17,1.627,54.2,0.312,134.9,295.1,2,91.21
Line-C,Type-Y,주간,205.57,205.3,1.975,41.2,0.018,126.0,272.6,2,85.4
Line-B,Type-X,주간,193.44,200.04,1.508,56.6,0.372,110.5,231.5,7,90.23
Line-B,Type-Y,야간,174.73,177.16,0.959,52.6,0.621,134.3,271.2,8,88.19
Line-A,Type-Z,야간,197.85,201.21,1.449,39.4,1.382,126.9,285.6,12,85.93
Line-B,Type-Z,야간,195.75,198.07,1.559,39.9,0.001,160.2,333.4,14,92.98
Line-B,Type-Z,주간,195.65,196.82,1.313,42.8,0.037,82.2,177.3,2,89.46
Line-A,Type-Y,주간,202.38,209.28,1.669,57.5,0.011,143.2,301.4,3,93.43
Line-B,Type-X,주간,202.09,197.48,1.929,41.2,0.105,144.9,312.2,12,94.56
Line-B,Type-X,주간,193.81,182.18,1.377,44.7,0.286,154.7,310.0,3,94.59
Line-B,Type-Z,주간,190.8,198.82,1.691,45.1,0.585,109.9,223.2,15,86.86
Line-A,Type-Y,야간,194.91,194.1,1.577,41.5,0.262,126.5,254.5,10,90.93
Line-C,Type-Y,주간,173.78,167.55,1.711,47.4,0.191,132.1,269.0,6,88.14
Line-A,Type-X,주간,216.77,218.1,0.98,44.4,0.086,119.0,266.4,11,95.19
Line-A,Type-Y,주간,183.24,169.97,1.04,56.1,0.129,113.0,235.5,14,92.63
Line-B,Type-Z,야간,183.23,184.89,0.936,67.8,0.226,110.5,231.3,11,86.71
Line-C,Type-Z,주간,215.73,212.32,1.689,39.2,0.135,96.2,198.3,4,83.02
Line-B,Type-Y,주간,207.24,205.48,1.626,,0.224,132.3,285.6,10,90.11
Line-A,Type-X,주간,207.79,204.42,1.305,80.0,0.39,119.5,260.6,6,92.68
Line-A,Type-Z,야간,213.22,206.52,1.737,62.1,0.465,116.7,240.9,4,85.34
Line-B,Type-Y,주간,204.8,203.65,1.781,47.6,0.66,105.9,228.9,5,88.31
Line-C,Type-Y,야간,206.76,206.5,1.766,44.9,0.004,138.3,291.1,3,87.3
Line-C,Type-Y,주간,202.86,204.29,1.214,60.7,0.013,175.6,347.0,8,91.24
Line-A,Type-Y,주간,222.31,220.36,1.305,55.1,0.373,118.2,244.9,9,90.06
Line-C,Type-X,주간,208.47,208.01,1.413,44.3,0.072,141.2,314.7,8,90.35
Line-B,Type-Y,주간,209.88,210.04,1.574,62.7,0.183,138.4,294.4,11,91.52
Line-B,Type-Z,주간,185.54,184.31,1.322,62.1,1.101,102.5,219.9,2,83.53
Line-A,Type-X,주간,197.06,194.35,1.462,46.4,0.006,133.1,285.2,1,92.57
Line-A,Type-Z,주간,168.62,167.48,1.673,70.7,0.034,111.9,225.4,1,91.74
Line-C,Type-X,주간,223.9,228.57,1.648,48.2,0.146,150.3,319.3,11,88.83
Line-A,Type-Y,주간,192.23,,1.849,48.9,0.746,86.9,173.0,6,88.59
Line-A,Type-X,야간,194.95,189.96,1.788,51.0,1.254,147.5,314.7,13,88.92
Line-A,Type-X,주간,209.52,214.47,1.323,41.3,0.37,124.7,258.8,5,93.98
Line-C,Type-X,주간,193.57,192.0,1.696,58.2,0.698,118.8,229.7,5,85.31
Line-B,Type-Z,주간,184.01,187.79,1.032,41.7,0.092,100.6,210.0,1,87.65
Line-B,Type-X,주간,194.52,196.33,1.508,54.0,0.302,121.2,255.5,15,93.77
Line-A,Type-Z,주간,222.38,224.3,2.111,65.6,0.395,137.7,281.7,8,90.31
Line-B,Type-Z,야간,197.29,198.81,1.711,42.0,0.473,131.6,276.8,12,86.02
Line-B,Type-X,야간,197.57,203.59,1.757,48.5,0.007,110.7,236.9,9,90.69
Line-B,Type-Z,야간,216.95,216.66,1.35,51.7,0.003,123.5,264.0,4,89.0
Line-B,Type-X,주간,187.7,186.61,1.401,,0.441,102.0,237.3,10,91.51
Line-B,Type-Z,주간,179.72,168.76,1.176,31.5,0.21,98.7,210.6,13,88.7
Line-B,Type-Z,주간,166.55,168.75,2.121,51.7,0.544,114.0,238.9,13,88.24
Line-C,Type-Y,주간,180.25,,1.454,62.5,0.403,114.7,216.7,13,89.89
Line-C,Type-Z,주간,194.69,192.55,1.756,40.7,0.433,139.4,302.3,2,85.87
Line-A,Type-Z,야간,207.08,205.97,1.775,41.1,1.629,115.5,252.8,5,84.91
Line-B,Type-Y,주간,187.34,192.18,1.62,,0.057,123.2,256.5,7,91.24
Line-B,Type-X,주간,184.49,186.22,1.743,55.9,0.266,131.9,265.2,11,90.98
Line-A,Type-Y,주간,196.91,192.77,1.492,40.2,0.022,107.5,230.7,3,89.65
Line-C,Type-X,주간,185.0,178.28,1.876,65.1,0.057,119.3,270.2,11,92.03
Line-B,Type-X,주간,170.06,167.6,2.303,34.0,0.085,147.9,315.6,13,91.98
Line-B,Type-Y,야간,211.33,213.28,1.7,49.4,0.424,120.5,266.4,10,86.13
Line-B,Type-Y,주간,199.6,202.13,1.51,62.1,0.196,120.5,251.6,12,88.28
Line-B,Type-X,주간,195.6,196.85,0.91,73.0,0.144,105.6,216.4,9,91.44
Line-B,Type-Z,야간,197.2,196.62,1.443,37.3,0.073,119.2,255.7,12,87.64
Line-B,Type-Z,주간,217.52,225.26,1.698,44.6,0.001,97.5,214.5,11,92.85
Line-A,Type-Y,주간,183.8,180.94,1.606,37.2,0.376,126.6,259.2,10,89.12
Line-B,Type-Y,주간,211.29,207.93,2.069,47.0,0.261,137.4,293.1,9,89.79
Line-A,Type-Z,야간,177.55,172.26,1.117,51.3,0.041,123.4,261.6,3,89.76
Line-A,Type-X,주간,203.25,208.73,1.51,61.3,0.362,122.8,251.5,3,91.56
Line-C,Type-Y,야간,212.47,213.15,1.827,54.0,0.266,127.1,276.5,1,84.97
Line-A,Type-X,주간,176.6,176.14,1.408,48.1,0.083,100.9,213.5,1,94.95
Line-B,Type-Y,야간,208.49,205.57,1.496,67.8,0.377,125.8,252.5,1,85.91
Line-B,Type-Y,야간,208.22,197.58,1.708,64.7,0.09,110.9,236.9,14,86.33
Line-B,Type-Z,주간,201.89,209.76,1.73,34.9,0.026,110.1,245.3,14,89.36
Line-C,Type-X,주간,222.26,216.12,1.724,61.8,0.024,134.4,288.1,15,91.97
Line-A,Type-Z,주간,206.24,208.69,1.565,46.4,0.002,114.0,237.5,14,89.02
Line-B,Type-Y,주간,188.81,192.86,1.296,46.4,0.432,119.0,261.7,8,88.91
Line-A,Type-X,주간,185.15,185.81,2.002,58.8,0.197,122.5,258.0,11,94.42
Line-B,Type-X,야간,183.7,184.16,1.507,,0.033,139.5,293.8,9,92.27
Line-B,Type-X,주간,213.45,209.73,1.33,67.2,0.008,102.0,197.8,11,91.41
Line-A,Type-Y,야간,280.0,208.19,1.301,42.3,0.143,131.6,280.9,4,86.28
Line-B,Type-Y,야간,202.84,199.51,1.813,68.2,0.081,98.1,221.5,15,88.33
Line-C,Type-X,주간,203.09,201.25,1.736,48.2,0.124,128.8,261.9,12,89.45
Line-C,Type-Z,야간,189.0,186.14,1.367,49.4,0.193,158.9,329.3,1,85.15
Line-B,Type-Z,야간,227.6,222.0,1.432,47.8,0.001,117.5,219.1,1,84.99
Line-C,Type-Z,주간,205.94,210.77,1.69,52.7,0.002,138.6,287.9,15,86.8
Line-B,Type-Y,주간,178.38,173.42,1.346,58.1,0.131,116.3,247.3,10,89.23
Line-C,Type-X,주간,194.35,191.24,1.144,44.4,0.101,117.2,236.5,3,89.65
Line-C,Type-X,야간,192.7,187.44,1.45,47.6,0.043,122.3,264.5,10,86.26
Line-B,Type-X,주간,202.85,204.79,1.363,49.2,0.281,134.1,280.1,15,91.13
Line-A,Type-X,주간,209.58,,1.139,56.8,0.059,107.2,235.1,7,92.3
Line-B,Type-X,주간,221.21,215.18,1.774,49.4,0.016,122.3,244.7,5,89.93
Line-A,Type-Z,주간,221.24,227.34,1.88,53.4,0.424,132.3,279.8,7,89.59
Line-B,Type-Z,야간,213.09,206.95,1.48,,0.133,101.3,212.7,1,85.52
Line-C,Type-X,주간,221.26,219.0,1.457,45.3,0.876,117.9,237.0,4,86.96
Line-A,Type-Y,주간,280.0,194.93,1.575,48.2,0.044,140.0,289.1,6,89.26
Line-C,Type-Y,야간,197.86,190.68,1.649,47.6,0.406,127.8,273.4,2,85.74
Line-B,Type-Y,야간,240.0,242.26,1.553,61.8,0.521,119.1,266.6,1,84.21
Line-B,Type-Y,주간,172.94,178.49,1.856,45.4,0.499,113.6,229.0,1,88.41
Line-B,Type-X,주간,189.44,191.38,1.423,50.6,0.249,114.8,258.2,13,93.72
Line-B,Type-X,주간,195.69,199.65,1.741,56.3,0.009,135.9,282.1,12,96.7
Line-A,Type-X,주간,192.79,191.93,1.471,,2.0,122.7,274.6,11,88.34
Line-A,Type-X,주간,176.86,172.19,1.156,54.8,0.143,114.2,235.5,11,91.77
Line-A,Type-X,야간,180.45,181.66,1.519,58.9,0.956,119.5,251.6,10,91.23
Line-B,Type-Y,주간,221.05,219.27,1.783,47.5,0.391,118.3,237.1,14,91.53
Line-A,Type-X,야간,216.08,215.91,1.834,58.2,0.84,110.0,234.2,3,83.99
Line-C,Type-Y,야간,189.72,187.05,1.304,44.4,0.513,109.7,227.4,14,88.43
Line-B,Type-Y,야간,190.27,189.99,1.778,55.6,0.221,97.8,207.7,9,87.48
Line-C,Type-Z,주간,172.17,173.49,1.362,48.2,1.126,106.8,220.6,12,86.3
Line-A,Type-X,야간,194.93,195.17,1.533,45.6,0.57,70.0,155.4,3,87.76
Line-C,Type-Y,주간,194.19,194.42,1.366,45.3,0.398,150.6,302.2,8,89.18
Line-C,Type-Y,야간,193.16,192.49,1.733,55.9,0.262,122.6,238.0,4,86.0
Line-B,Type-Y,주간,179.83,174.42,1.351,38.8,0.195,112.4,220.8,9,92.69
Line-A,Type-Z,주간,300.0,195.82,1.304,53.7,0.034,103.1,251.0,15,87.14
Line-C,Type-X,야간,233.57,227.11,1.383,58.6,0.143,163.9,344.2,4,83.02
Line-B,Type-Y,주간,207.34,208.95,1.434,45.9,0.354,120.6,256.6,1,89.87
Line-C,Type-Y,주간,206.51,,1.715,58.1,0.046,108.1,228.0,2,87.02
Line-A,Type-Y,주간,223.7,218.81,1.622,46.8,0.393,151.9,313.2,2,87.77
Line-C,Type-X,야간,208.99,216.9,1.592,70.8,0.204,119.8,238.1,10,87.05
Line-A,Type-X,야간,181.59,183.52,1.806,44.5,0.398,109.3,244.8,11,91.01
Line-B,Type-Y,주간,213.67,214.3,0.8,37.0,0.479,133.3,285.6,10,88.63
Line-A,Type-Z,주간,197.67,191.08,0.8,57.7,0.189,111.6,236.1,4,89.59
Line-A,Type-Y,야간,219.59,220.65,1.732,47.6,0.489,91.8,197.9,4,86.48
Line-A,Type-Z,주간,195.45,200.41,0.8,66.9,0.238,141.6,298.7,14,92.68
Line-A,Type-Y,야간,179.39,179.66,1.802,31.2,0.088,75.7,158.1,7,87.71
Line-C,Type-Z,주간,194.75,193.16,1.476,52.8,0.095,125.5,251.2,15,89.1
Line-A,Type-Z,야간,193.99,191.29,1.756,41.8,0.054,115.1,230.1,6,88.67
Line-A,Type-Z,주간,198.69,202.08,1.407,60.8,0.029,117.0,257.1,11,88.05
Line-C,Type-Z,주간,206.67,205.68,0.89,62.7,0.053,135.0,279.6,4,86.91
Line-A,Type-X,주간,187.5,188.53,0.8,49.0,0.059,163.0,335.9,5,94.01
Line-B,Type-Y,야간,195.65,191.21,1.676,41.6,0.605,123.1,273.7,11,88.81
Line-B,Type-Z,주간,204.48,193.8,1.582,55.3,0.195,117.9,237.8,15,89.33
Line-A,Type-X,주간,235.65,230.5,1.388,47.9,0.213,142.8,299.2,12,92.89
Line-A,Type-Y,야간,207.16,214.06,1.552,58.0,1.372,133.1,279.2,7,86.17
Line-B,Type-Y,주간,174.26,177.72,1.278,34.0,0.155,141.7,275.2,3,90.34
Line-B,Type-X,주간,199.36,199.53,1.27,38.8,0.128,98.8,213.9,13,91.99
Line-C,Type-X,주간,188.0,192.78,0.867,55.6,0.126,143.7,293.7,8,93.3
Line-A,Type-Z,주간,160.0,159.37,1.703,52.7,0.61,107.9,226.3,4,91.58
Line-B,Type-X,야간,185.59,190.13,1.084,42.9,0.428,125.1,263.4,9,90.59
Line-A,Type-Y,야간,207.9,196.45,0.936,43.7,0.166,106.5,229.0,8,86.74
Line-A,Type-X,야간,221.32,215.33,1.554,52.9,0.175,137.2,291.6,11,92.42
Line-A,Type-Y,주간,178.29,177.45,1.966,41.7,0.096,91.1,188.1,2,89.34
Line-A,Type-Z,주간,290.0,196.56,1.179,60.0,0.056,89.6,195.2,2,84.94
Line-A,Type-Z,야간,224.34,223.76,1.575,53.0,0.311,89.0,186.8,3,84.21
Line-A,Type-X,야간,185.2,186.79,1.508,43.9,0.117,145.2,311.0,5,92.21
Line-B,Type-Z,야간,197.66,200.22,1.577,68.8,0.054,145.4,318.8,2,88.32
Line-C,Type-Z,주간,162.23,162.65,1.467,57.5,0.097,95.1,207.0,7,90.36
Line-B,Type-Y,주간,193.41,195.8,1.039,46.1,0.922,132.4,269.3,10,90.76
Line-C,Type-Z,주간,202.62,212.38,1.39,51.8,0.254,113.0,233.0,12,88.59
Line-B,Type-X,야간,200.54,196.46,1.277,41.3,0.005,95.2,195.9,1,88.45
Line-B,Type-Z,야간,198.8,199.76,1.921,53.9,0.292,113.4,239.9,7,84.79
Line-B,Type-X,야간,187.49,190.55,0.923,34.7,0.493,125.3,254.3,5,92.56
Line-A,Type-X,야간,192.37,191.68,2.153,45.1,0.395,135.0,273.8,4,89.94
Line-A,Type-X,야간,212.4,220.03,1.586,26.1,0.255,125.4,262.3,13,89.62
Line-A,Type-X,야간,210.67,204.88,1.639,62.5,0.091,133.8,279.7,1,91.59
Line-B,Type-Y,주간,186.0,184.1,1.463,58.5,0.518,90.2,176.6,1,87.06
Line-B,Type-X,주간,175.41,174.39,1.681,28.3,0.067,139.7,301.1,2,92.49
Line-A,Type-Z,야간,188.78,192.83,1.499,49.9,0.153,105.0,222.0,9,89.79
Line-A,Type-Y,주간,199.16,205.51,0.976,46.6,0.275,126.1,283.5,12,91.74
Line-A,Type-Z,야간,219.48,224.7,1.658,41.4,0.259,100.6,213.3,10,85.31
Line-A,Type-Z,야간,201.9,200.09,1.467,55.3,0.105,103.8,199.2,5,85.36
Line-C,Type-X,주간,220.47,232.32,1.481,45.4,0.045,142.2,311.1,12,91.38
Line-B,Type-Z,주간,205.95,208.34,1.605,57.3,0.791,109.0,228.6,1,88.24
Line-A,Type-Z,야간,187.38,183.29,1.234,54.0,0.052,138.5,290.8,7,88.45
Line-B,Type-X,야간,203.7,198.82,1.239,49.3,0.819,111.8,229.2,6,88.57
Line-B,Type-X,주간,190.01,187.34,1.023,46.8,0.143,128.6,285.0,13,94.55
Line-B,Type-Z,주간,210.38,216.39,1.364,57.0,0.354,132.2,272.9,3,85.68
Line-A,Type-X,주간,202.85,200.45,1.248,44.4,0.701,89.7,177.6,10,91.73
Line-C,Type-Z,주간,177.6,179.59,1.667,39.6,0.364,155.2,319.1,1,85.94
Line-A,Type-Y,주간,219.76,216.65,1.328,39.5,0.535,96.8,195.0,1,90.34
Line-A,Type-X,야간,203.73,203.54,1.352,54.9,0.207,91.6,193.9,14,90.0
Line-B,Type-Z,야간,183.41,182.12,1.587,46.2,0.359,74.8,155.1,5,83.84
Line-B,Type-X,야간,214.98,221.48,1.845,51.3,0.679,122.5,268.4,6,84.25
Line-B,Type-Y,야간,191.48,185.38,4.0,46.0,0.095,113.0,235.5,3,84.98
Line-B,Type-X,야간,212.09,209.03,1.5,47.2,0.865,129.7,262.6,10,88.66
Line-A,Type-X,야간,290.0,217.52,1.502,70.3,0.028,78.9,165.3,13,84.85
Line-B,Type-Z,주간,220.22,,1.415,58.4,0.863,128.2,264.3,8,88.75
Line-B,Type-Y,주간,189.27,187.06,1.442,52.4,0.14,115.1,253.9,8,90.64
Line-B,Type-Z,주간,193.53,200.99,1.263,59.8,0.17,91.0,198.3,9,87.07
Line-C,Type-X,야간,189.08,187.55,1.434,59.6,0.23,124.0,255.0,10,89.22
Line-A,Type-Z,주간,222.54,210.78,1.878,39.0,0.036,137.9,304.2,15,91.07
Line-B,Type-X,야간,207.09,205.59,1.357,61.3,0.084,111.6,239.2,7,90.84
Line-A,Type-Y,주간,198.84,190.47,2.434,56.9,0.113,86.5,200.8,5,88.21
Line-C,Type-X,주간,206.63,208.36,1.799,55.0,0.299,148.5,303.8,9,89.83
Line-B,Type-X,주간,165.2,162.91,1.742,41.9,0.15,161.3,333.7,13,97.96
Line-C,Type-Y,주간,208.33,217.23,1.132,55.5,0.425,194.1,418.2,12,89.41
Line-A,Type-Y,야간,187.3,183.36,1.715,50.1,0.41,72.3,158.7,2,89.08
Line-A,Type-Y,주간,200.51,200.25,1.739,53.9,0.01,106.7,223.9,12,91.66
Line-C,Type-Y,주간,195.23,190.75,1.105,47.1,0.04,140.3,291.2,11,87.92
Line-A,Type-X,야간,164.87,171.36,1.387,31.0,0.498,176.1,367.2,3,93.63
Line-B,Type-Y,주간,203.18,197.59,1.531,38.0,0.061,130.7,265.1,5,90.92
Line-A,Type-X,야간,177.53,,1.817,58.4,0.009,95.9,219.3,13,93.55
Line-B,Type-Y,주간,213.45,220.54,1.616,42.4,0.111,106.4,201.2,5,85.25
Line-B,Type-Y,야간,216.75,214.69,1.852,50.5,0.685,123.7,271.2,5,85.45
Line-C,Type-Y,주간,209.65,217.7,1.365,46.7,0.068,78.4,154.5,5,86.04
Line-A,Type-Z,주간,193.6,196.04,1.571,46.3,0.402,130.9,280.6,8,88.97
Line-C,Type-Y,주간,201.87,205.39,1.276,38.1,0.353,118.7,261.8,8,86.51
Line-C,Type-Y,주간,211.85,204.09,1.117,48.9,0.432,151.3,307.1,9,87.7
Line-C,Type-Y,주간,184.22,187.92,1.436,52.8,0.285,116.5,241.7,3,88.62
Line-B,Type-Z,야간,196.94,197.23,1.632,59.3,0.03,99.3,215.8,10,85.86
Line-A,Type-Z,야간,180.58,183.04,1.917,41.0,0.426,103.5,227.4,11,87.01
Line-B,Type-X,야간,192.3,184.75,1.737,64.6,0.751,70.0,134.8,14,86.17
Line-A,Type-Y,야간,192.41,187.25,1.654,59.5,0.913,100.9,225.7,9,86.31
Line-C,Type-Z,주간,199.03,191.17,1.238,51.7,0.512,98.0,192.8,10,87.66
Line-C,Type-Z,주간,208.38,213.93,1.276,40.0,0.056,134.2,288.7,9,90.59
Line-B,Type-X,주간,208.96,209.47,2.109,42.8,0.269,130.6,280.4,8,90.24
Line-A,Type-Y,야간,193.56,191.92,1.358,49.1,0.145,130.9,280.4,11,90.19
Line-C,Type-Z,야간,196.99,193.75,1.375,45.8,0.027,125.0,255.6,4,84.48
Line-B,Type-Y,야간,220.03,217.2,1.661,,0.205,125.8,253.4,14,86.87
Line-A,Type-X,주간,185.94,173.03,1.791,44.9,0.295,126.4,284.0,8,93.67
Line-B,Type-X,야간,290.0,179.95,1.788,56.6,0.1,83.5,191.5,11,89.45
Line-A,Type-X,주간,209.35,210.35,1.107,52.0,0.464,93.8,169.2,6,92.74
Line-A,Type-Y,주간,179.25,173.83,3.5,55.1,0.004,102.1,214.1,12,91.68
Line-A,Type-Z,주간,206.18,211.08,1.612,48.7,0.098,109.3,233.7,1,90.81
Line-C,Type-Y,주간,213.03,206.9,1.509,58.0,0.513,119.2,265.8,10,87.12
Line-A,Type-X,야간,209.18,198.47,2.131,41.1,0.608,116.9,252.5,11,92.06
Line-B,Type-X,주간,177.37,,1.361,61.4,0.044,101.2,216.0,11,93.21
Line-A,Type-Z,주간,186.33,187.71,1.639,49.6,0.013,107.6,205.4,9,90.37
Line-B,Type-X,야간,226.97,229.03,1.335,44.9,0.49,136.0,287.5,6,87.99
Line-A,Type-X,야간,176.06,169.55,1.295,58.8,0.043,112.2,238.4,11,92.15
Line-C,Type-X,주간,211.75,206.57,1.221,33.8,0.216,110.3,236.0,10,88.11
Line-C,Type-Y,야간,194.88,193.92,1.444,48.4,0.295,111.4,240.0,12,87.84
Line-A,Type-X,주간,186.89,182.46,1.375,48.9,0.633,106.9,222.3,11,94.63
Line-B,Type-Z,야간,214.31,226.93,1.415,47.4,0.507,109.7,222.7,7,87.95
Line-B,Type-X,주간,181.77,182.21,1.695,50.5,0.271,111.6,241.3,1,91.41
Line-B,Type-X,주간,214.94,218.64,1.484,33.0,0.504,123.4,269.8,5,89.34
